 | <html dir="ltr"><head></head><body contenteditable="true"><h1>book</h1><p><span style="font-weight: bold; font-family: &quot;&quot;;">hello&nbsp;</span></p></body></html>
&nbsp;day | <html dir="ltr"><head></head><body contenteditable="true"><h1>a priori<span style="font-size: xx-large;">&nbsp;day</span></h1><h3><i>//</i></h3><ul><li>tiên nghiệm</li><li>minh bi</li></ul></body></html>
&nbsp;y | <html dir="ltr"><head></head><body contenteditable="true"><h1>a fortiori<span style="font-size: xx-large;">&nbsp;y</span></h1><h3><i>//</i></h3><ul><li>lại càng hay</li></ul></body></html>
<h1><span style="font-family: &quot;&quot;;">book</span> | <html dir="ltr"><head></head><body contenteditable="true"><h1><span style="font-family: &quot;&quot;;">book</span></h1></body></html>
<h1><span style="font-family: &quot;&quot;;">book</span></h1> | <html dir="ltr"><head></head><body contenteditable="true"><h1><span style="font-family: &quot;&quot;;">book</span></h1></body></html>
<h1><span style="font-family: &quot;&quot;;">tieng</span></h1> | <html dir="ltr"><head></head><body contenteditable="true"><h1><span style="font-family: &quot;&quot;;">tieng</span></h1></body></html>
<h1>Từ</h1> | <html dir="ltr"><head></head><body contenteditable="true"><h1>Từ</h1></body></html>
a b c &nbsp;d | <html dir="ltr"><head></head><body contenteditable="true"><h1><span style="font-family: &quot;&quot;;">a b c &nbsp;d</span></h1><h3><i>/'eibi:'si:/</i></h3><h2>danh từ</h2><ul><li>bảng chữ cái</li><li>khái niệm cơ sở, cơ sở<ul style="list-style-type:circle"><li>a_b_c of chemistry:<i> khái niệm cơ sở về hoá học, cơ sở hoá học</i></li></ul></li><li>(ngành đường sắt)</li></ul></body></html>
A except B gate | <html dir="ltr"><head></head><body contenteditable="true"><h1>A except B gate</h1><h3><i>//</i></h3><ul><li>(Tech) cổng A loại trừ B</li></ul></body></html>
A ignore B gate | <h1>A ignore B gate</h1><h3><i>//</i></h3><ul><li>(Tech) cổng A không biết B</li></ul>
A implies B | <html dir="ltr"><head></head><body contenteditable="true"><h1>A implies B</h1><h3><i>//</i></h3><ul><li>thang</li></ul></body></html>
a la mode&nbsp; | <html dir="ltr"><head></head><body contenteditable="true"><h1>a la mode&nbsp;</h1><h1><i>/,ɑ:lə'moud/</i></h1><h2>phó từ</h2><ul><li>hợp thời trang, đúng mốt</li></ul></body></html>
